Embedded Platform Name,SMB Name,Loan Funded On,Loan Amount,Pipe Fees,Repaid Total So Far,Liquidity Risk,Revenue Drop Risk,Non-Payment Risk
Boulevard,SMB_51356,2024-03-23 17:39:41.013922,24684,1450.11,22215.600000000002,0,0,0
Priority,SMB_9524,2024-07-02 17:39:40.713269,10900,868.05,6353.743877929328,0,0,0
Housecall Pro,SMB_59972,2024-07-16 17:39:41.073613,31055,3322.88,18915.391150482243,0,0,0
Boulevard,SMB_45197,2024-12-30 17:39:40.970360,11496,1321.1,1607.009367705157,0,0,0
Priority,SMB_11679,2024-08-04 17:39:40.728761,30928,1630.81,17031.79778481146,0,0,0
Housecall Pro,SMB_90427,2024-05-05 17:39:41.283008,14679,872.93,11304.827402427993,1,0,0
Priority,SMB_19970,2024-04-26 17:39:40.788435,18132,1863.03,13444.382052369923,0,0,0
Priority,SMB_32304,2024-04-18 17:39:40.881890,21344,1140.73,17977.525010638612,0,0,0
Housecall Pro,SMB_84129,2024-11-13 17:39:41.243813,20934,1346.74,6108.620944157777,0,0,0
Housecall Pro,SMB_96106,2024-06-04 17:39:41.318946,31930,2371.37,22964.605354158382,0,0,0
Priority,SMB_28675,2024-11-18 17:39:40.855580,20829,2344.91,5697.646964070037,0,0,0
Priority,SMB_8115,2024-04-06 17:39:40.702775,10214,896.08,7860.237857224322,0,0,0
Housecall Pro,SMB_55945,2024-06-10 17:39:41.049630,16764,870.14,12168.82929637431,1,0,0
Priority,SMB_14007,2024-11-23 17:39:40.744124,23825,1637.41,6048.373530028591,0,0,0
Boulevard,SMB_40354,2025-01-26 17:39:40.935903,30814,2617.16,2420.963524548739,0,1,0
Housecall Pro,SMB_55233,2024-07-15 17:39:41.045525,21910,2242.62,11866.838424072841,0,0,0
Priority,SMB_10304,2024-06-26 17:39:40.719144,16516,1756.38,9500.526389857088,0,0,0
Boulevard,SMB_40757,2024-08-01 17:39:40.938918,23123,1453.34,13408.767635964123,0,0,0
Housecall Pro,SMB_82315,2024-07-26 17:39:41.231266,30022,2018.41,15487.757983059644,0,1,0
Priority,SMB_25923,2024-05-26 17:39:40.835492,26390,1875.99,18793.623443230685,0,0,0
Boulevard,SMB_48803,2024-10-28 17:39:40.995227,26798,2836.04,8027.263202224929,0,0,0
Priority,SMB_25730,2024-06-16 17:39:40.833949,23842,2031.34,16021.710929011466,0,0,0
Housecall Pro,SMB_63355,2024-06-23 17:39:41.094373,32124,3110.46,19174.222953720495,0,0,0
Priority,SMB_39154,2024-05-08 17:39:40.927365,8916,634.35,6881.817657990814,0,0,0
Housecall Pro,SMB_70687,2024-09-26 17:39:41.147538,13400,1528.73,4782.0284347463285,1,0,0
Housecall Pro,SMB_68199,2024-08-02 17:39:41.123164,10169,1011.11,4826.5358691149395,0,0,0
Housecall Pro,SMB_74129,2024-08-11 17:39:41.179224,29756,2630.26,15231.053513073733,0,0,0
Priority,SMB_25024,2024-11-18 17:39:40.829459,29360,2720.3,8312.746460733588,1,0,0
Housecall Pro,SMB_69817,2024-03-04 17:39:41.138956,19178,2183.08,17260.2,0,0,0
Housecall Pro,SMB_94115,2024-11-01 17:39:41.305883,18426,1297.25,5158.948828904695,0,0,0
Housecall Pro,SMB_54293,2024-03-08 17:39:41.039575,18096,1988.69,16286.4,0,1,0
Priority,SMB_30339,2025-01-02 17:39:40.867774,8715,553.52,1246.9481516752703,0,0,0
Housecall Pro,SMB_93664,2024-12-14 17:39:41.303035,18488,1368.15,3540.795581779781,0,1,0
Housecall Pro,SMB_94044,2024-04-04 17:39:41.305452,10409,1005.7,7699.06711487279,0,0,0
Housecall Pro,SMB_59346,2024-11-23 17:39:41.070066,11948,612.88,3156.852656528264,0,0,0
Housecall Pro,SMB_79731,2024-06-20 17:39:41.213640,28442,2023.37,17796.053985221508,0,0,0
Housecall Pro,SMB_54496,2024-07-04 17:39:41.040697,27959,3103.6,15344.207442199702,0,0,0
Boulevard,SMB_42244,2024-08-23 17:39:40.949153,23817,2477.68,10677.574556233096,0,0,0
Priority,SMB_20302,2024-04-10 17:39:40.790447,32373,2514.1,27977.318589629493,0,0,0
Priority,SMB_7356,2024-11-23 17:39:40.698377,11789,780.01,2752.98270108603,0,0,0
Priority,SMB_37542,2025-01-16 17:39:40.915690,7809,392.93,810.9908904222689,0,0,1
Boulevard,SMB_47468,2024-12-21 17:39:40.985927,12705,910.02,2016.4880555169116,0,0,0
Priority,SMB_24048,2024-10-15 17:39:40.823223,23506,1400.66,7483.416617351015,0,0,0
Priority,SMB_17201,2024-05-25 17:39:40.768583,29299,2431.45,19421.1239327945,0,0,0
Priority,SMB_27593,2024-10-25 17:39:40.848011,7265,791.38,2353.8780042397107,0,0,0
Housecall Pro,SMB_87261,2025-01-21 17:39:41.263137,12146,1119.57,1276.724605841178,1,0,0
Priority,SMB_7846,2024-04-24 17:39:40.701231,26811,3148.26,21332.286576388702,0,0,0
Boulevard,SMB_45704,2024-11-18 17:39:40.973798,7382,763.75,1883.1502238495498,0,1,0
Priority,SMB_10949,2024-08-05 17:39:40.723884,8887,960.46,5015.3796812064065,0,0,0
Housecall Pro,SMB_97726,2025-01-16 17:39:41.329761,17545,1698.97,1794.9670487304775,1,0,0
Housecall Pro,SMB_72042,2024-11-24 17:39:41.160731,14150,897.36,3182.8193741229834,0,1,0
Priority,SMB_9105,2025-01-14 17:39:40.710786,14319,1539.06,1729.3375447791077,1,0,0
Housecall Pro,SMB_54315,2024-05-27 17:39:41.039695,8138,803.66,5672.45220904193,0,0,0
Priority,SMB_33738,2024-07-04 17:39:40.890803,28023,2078.55,17113.313051042674,1,0,0
Priority,SMB_4293,2024-04-15 17:39:40.674617,11785,979.4,10168.846662581205,0,0,0
Priority,SMB_13095,2024-09-28 17:39:40.738268,19188,2185.77,7495.949653715807,0,0,0
Boulevard,SMB_43683,2024-12-12 17:39:40.960372,11348,1011.91,2339.8414296350466,0,0,0
Priority,SMB_22465,2024-09-13 17:39:40.807566,23464,2449.67,10579.79258046208,0,0,1
Priority,SMB_18073,2024-12-30 17:39:40.775072,28763,2613.57,4347.900516251661,0,0,0
Priority,SMB_31253,2024-12-22 17:39:40.874721,23163,1291.58,3806.0250264039946,1,0,0
Housecall Pro,SMB_97875,2024-11-26 17:39:41.330738,29794,2512.76,7585.631392817031,0,0,0
Priority,SMB_844,2024-05-02 17:39:40.649986,31310,3538.53,25261.32085841246,0,0,0
Housecall Pro,SMB_97416,2025-01-16 17:39:41.327065,9055,858.9,1065.1227805151113,0,0,0
Housecall Pro,SMB_97796,2025-01-01 17:39:41.330208,12108,880.92,1638.1599279208579,0,0,0
Priority,SMB_20187,2024-08-24 17:39:40.789785,19316,1928.58,8925.405821432434,0,0,0
Boulevard,SMB_41654,2024-10-16 17:39:40.945243,13275,705.65,4635.07913133129,0,0,0
Priority,SMB_28465,2024-05-07 17:39:40.854076,18439,1685.78,13124.236441121142,0,0,0
Boulevard,SMB_48688,2025-01-20 17:39:40.994361,15663,1160.35,1450.6096853497452,0,0,0
Priority,SMB_22781,2024-05-14 17:39:40.811394,19495,1885.91,14706.692732405067,0,0,0
Housecall Pro,SMB_83272,2024-09-02 17:39:41.238115,18663,1156.4,8728.383400463377,0,1,0
Housecall Pro,SMB_79737,2025-01-21 17:39:41.213687,11141,568.31,1152.6142301149296,0,0,0
Housecall Pro,SMB_92901,2024-09-14 17:39:41.298229,11579,817.28,4474.100756670671,0,0,0
Priority,SMB_8162,2025-01-02 17:39:40.703029,8497,508.73,1090.0433794647042,1,0,0
Housecall Pro,SMB_65515,2024-08-06 17:39:41.107257,15899,1105.1,7330.054339613415,0,0,0
Housecall Pro,SMB_96668,2024-12-09 17:39:41.322413,26520,1345.56,5584.4029168393645,0,1,0
Priority,SMB_13245,2024-08-31 17:39:40.739195,25062,1681.34,12087.283818817723,0,0,0
Priority,SMB_37510,2024-10-04 17:39:40.915483,11520,1234.15,4403.209266190916,0,0,1
Housecall Pro,SMB_80044,2025-01-05 17:39:41.215917,18089,1076.85,2693.9987214603307,0,0,0
Priority,SMB_21041,2024-05-02 17:39:40.794945,24560,2811.18,18669.76673758925,0,0,0
Housecall Pro,SMB_54039,2024-07-14 17:39:41.038087,20790,1926.13,11181.029150720058,0,0,0
Boulevard,SMB_50380,2024-10-08 17:39:41.007440,23353,2319.67,7656.333402939975,0,0,0
Housecall Pro,SMB_63892,2024-11-16 17:39:41.097651,18046,915.44,5037.047806908945,0,0,0
Priority,SMB_36365,2024-08-23 17:39:40.907433,22244,1220.2,11180.02534130357,0,0,0
Housecall Pro,SMB_53780,2024-04-01 17:39:41.033082,26982,2498.04,20797.61502382881,0,0,1
Priority,SMB_25189,2024-08-20 17:39:40.830421,14164,983.39,6495.311443362666,0,0,0
Housecall Pro,SMB_54620,2024-03-09 17:39:41.041598,7810,686.76,7029.0,0,0,0
Housecall Pro,SMB_67080,2024-09-10 17:39:41.116555,7168,842.94,3187.1957677283735,0,1,0
Housecall Pro,SMB_60645,2024-03-10 17:39:41.077497,7461,629.59,5963.3107947035705,0,0,0
Housecall Pro,SMB_58287,2024-09-02 17:39:41.063840,23811,1409.62,10961.8873418587,1,0,0
Boulevard,SMB_40007,2024-05-01 17:39:40.933351,8952,697.25,6072.47994279024,0,0,1
Housecall Pro,SMB_52576,2024-10-26 17:39:41.023487,8551,478.15,2699.9762846964018,0,0,0
Priority,SMB_19656,2024-07-06 17:39:40.786496,10817,558.07,7112.064446344311,0,0,0
Priority,SMB_8342,2024-06-01 17:39:40.704236,11810,1405.02,7376.871306098174,1,0,0
Housecall Pro,SMB_72325,2024-05-02 17:39:41.163480,26273,1718.05,20913.43204803122,1,0,0
Housecall Pro,SMB_95752,2024-03-21 17:39:41.316500,9958,565.39,7974.475507169739,0,0,0
Housecall Pro,SMB_84697,2024-08-06 17:39:41.247340,28683,2188.55,15467.407403907686,0,0,0
Boulevard,SMB_46135,2024-04-04 17:39:40.976547,13753,1444.82,11088.339903077307,0,0,1
Boulevard,SMB_41187,2024-06-21 17:39:40.941832,15148,1730.36,10362.6938670771,0,0,0
Priority,SMB_6391,2024-03-10 17:39:40.692779,23650,2004.77,20183.06377774906,0,0,0
Priority,SMB_7578,2025-01-05 17:39:40.699698,14543,1335.23,1943.4236604945006,0,0,0
Housecall Pro,SMB_99489,2024-05-17 17:39:41.341530,30596,1904.63,23110.00463508109,0,0,0
Priority,SMB_36378,2024-12-10 17:39:40.907834,27701,1719.99,5819.86474427841,0,0,0
Priority,SMB_39988,2024-05-04 17:39:40.933244,16831,1187.28,12237.944564585225,0,1,0
Housecall Pro,SMB_75308,2024-09-17 17:39:41.186210,11009,1050.14,4623.622811303468,0,0,0
Housecall Pro,SMB_64001,2024-04-30 17:39:41.098296,16817,1720.6,13219.824758853269,0,0,0
Housecall Pro,SMB_52375,2024-05-22 17:39:41.022221,32023,2907.38,23557.601965357415,0,0,0
Housecall Pro,SMB_79040,2024-09-26 17:39:41.208699,7805,507.48,2731.6338609730938,1,0,0
Housecall Pro,SMB_82672,2025-01-04 17:39:41.233562,11996,1236.05,1481.225300988958,0,0,0
Priority,SMB_2539,2024-09-06 17:39:40.662005,10782,1203.02,5098.089008745734,0,0,0
Housecall Pro,SMB_82082,2024-08-27 17:39:41.229824,22367,1931.13,10213.254583786213,0,0,0
Housecall Pro,SMB_86601,2024-03-25 17:39:41.258965,7736,621.8,6962.400000000001,1,0,0
Housecall Pro,SMB_92585,2024-09-30 17:39:41.296322,15798,1880.47,6341.231299765249,1,0,0
Boulevard,SMB_47191,2024-08-07 17:39:40.983950,17115,1781.45,9322.731377648448,0,1,0
Housecall Pro,SMB_66340,2024-04-27 17:39:41.112158,13912,1527.9,9803.514861146714,1,0,0
Priority,SMB_36845,2024-12-06 17:39:40.910943,29565,1877.6,6475.822807330085,0,0,0
Priority,SMB_11623,2024-07-08 17:39:40.728432,6734,469.17,3546.524673075757,0,0,0
Housecall Pro,SMB_98330,2024-09-16 17:39:41.334122,12557,1078.79,5281.768978225743,0,0,0
Housecall Pro,SMB_97412,2024-10-17 17:39:41.327044,8317,997.65,2680.0944154140548,0,0,0
Boulevard,SMB_45804,2024-10-14 17:39:40.974412,26667,2171.88,10011.334064608584,1,0,0
Housecall Pro,SMB_92195,2024-05-08 17:39:41.294001,8596,754.12,6919.21362285212,0,0,0
Priority,SMB_1465,2024-04-12 17:39:40.655071,20644,1242.6,15933.7363860801,0,0,0
Priority,SMB_26578,2024-03-20 17:39:40.839706,26510,3181.04,21232.31409165743,0,0,0
Housecall Pro,SMB_96622,2024-09-08 17:39:41.322153,15881,1682.84,6105.689095768974,0,0,0
Housecall Pro,SMB_97041,2024-10-11 17:39:41.324689,21768,1375.08,6913.3483730758435,0,0,0
Boulevard,SMB_47438,2024-07-26 17:39:40.985625,30435,3583.37,18284.318830279008,0,0,0
Priority,SMB_37800,2024-07-23 17:39:40.917459,30102,2958.98,17073.6409125778,0,0,0
Housecall Pro,SMB_60165,2024-10-24 17:39:41.074703,17080,974.11,5453.650236504212,0,0,1
Priority,SMB_38462,2024-03-23 17:39:40.921865,29326,2888.36,22683.807026792296,0,1,0
Housecall Pro,SMB_90782,2024-06-18 17:39:41.285050,19260,1191.61,12259.916223763372,0,0,1
Boulevard,SMB_49234,2025-01-02 17:39:40.998395,30865,2270.15,4106.110993751683,1,0,0
Housecall Pro,SMB_54309,2024-08-17 17:39:41.039663,14796,1724.65,7253.023346597848,0,1,0
Housecall Pro,SMB_95306,2024-07-12 17:39:41.313700,6638,356.95,3498.900732782496,0,0,0
Boulevard,SMB_46072,2024-08-20 17:39:40.976146,11487,591.95,5861.028567035823,1,0,0
Housecall Pro,SMB_58519,2024-06-03 17:39:41.065223,12729,1412.55,8474.470262980378,1,0,0
Housecall Pro,SMB_66012,2024-09-22 17:39:41.110306,9171,842.44,3417.3501250990976,0,0,0
Housecall Pro,SMB_95939,2024-08-18 17:39:41.317820,15286,1431.12,6960.630466646328,0,0,0
Housecall Pro,SMB_89517,2024-09-10 17:39:41.277607,6760,732.63,2853.243205255624,0,0,0
Housecall Pro,SMB_86687,2025-01-14 17:39:41.259523,17958,1666.85,2025.1747652642593,0,0,0
Housecall Pro,SMB_81815,2024-04-23 17:39:41.228076,19984,1206.34,16547.350007797486,1,0,0
Housecall Pro,SMB_81066,2024-10-05 17:39:41.223063,14402,735.85,5514.34542246,0,0,0
Boulevard,SMB_41711,2024-08-20 17:39:40.945531,9830,784.67,4959.022098381671,1,0,0
Priority,SMB_8704,2024-10-03 17:39:40.707880,18934,1554.39,6912.545508695626,0,0,0
Housecall Pro,SMB_77366,2024-08-24 17:39:41.198463,29511,2421.51,13076.968866037232,0,0,1
Housecall Pro,SMB_55490,2024-06-23 17:39:41.047011,16698,1354.0,10246.694085215891,0,0,0
Housecall Pro,SMB_72244,2024-06-06 17:39:41.162703,25870,1577.31,16724.483229436082,0,0,0
Priority,SMB_37401,2024-04-21 17:39:40.914768,16047,1437.16,11299.573452117951,0,0,0
Housecall Pro,SMB_91139,2024-11-14 17:39:41.287144,23213,2702.08,5734.382306640669,0,0,0
Housecall Pro,SMB_62588,2024-08-18 17:39:41.089094,25497,2161.82,11014.147300832667,0,0,0
Boulevard,SMB_45516,2024-07-08 17:39:40.972584,28032,1591.64,16061.580969302398,0,0,0
Priority,SMB_20458,2024-05-25 17:39:40.791371,13755,1504.3,8771.985324235082,0,0,0
Priority,SMB_34206,2024-05-26 17:39:40.893722,11699,1126.04,8367.186112976728,0,0,0
Housecall Pro,SMB_62541,2024-03-24 17:39:41.088668,13717,806.03,12345.300000000001,0,0,0
Housecall Pro,SMB_69512,2024-10-26 17:39:41.135926,15870,864.17,4875.328179206896,0,0,0
Housecall Pro,SMB_68116,2024-07-29 17:39:41.122676,13697,1613.45,6885.440723257045,0,0,0
Housecall Pro,SMB_80687,2024-06-01 17:39:41.220535,9272,747.67,6234.3193916866085,0,0,0
Housecall Pro,SMB_61210,2024-07-10 17:39:41.080797,27081,2119.1,15603.64521183768,0,0,0
Priority,SMB_32059,2024-03-02 17:39:40.880402,18994,1909.68,16456.24660022461,0,1,0
Boulevard,SMB_50290,2024-06-01 17:39:41.006819,13679,1189.01,8949.802422979614,0,0,0
Priority,SMB_33223,2024-07-25 17:39:40.887625,23215,1853.38,12673.161034987535,0,0,0
Priority,SMB_32508,2024-05-15 17:39:40.883252,25053,2671.1,16573.505897159357,0,0,0
Priority,SMB_18717,2024-05-11 17:39:40.779925,31509,2468.48,23379.649008757387,0,1,0
Priority,SMB_27017,2024-08-02 17:39:40.843453,6788,426.41,3440.075689641997,0,0,0
Boulevard,SMB_46702,2024-08-22 17:39:40.980661,27841,2915.94,12928.970440935514,0,0,0
Boulevard,SMB_40623,2024-10-18 17:39:40.937990,30161,1905.88,9241.395632396096,0,0,0
Housecall Pro,SMB_78808,2025-01-20 17:39:41.207352,26007,2223.98,2805.416770433676,0,0,0
Priority,SMB_5986,2024-10-19 17:39:40.690056,6815,561.71,2249.128750335795,0,0,0
Priority,SMB_11254,2024-11-03 17:39:40.726188,10898,856.49,3520.5332538060547,0,0,0
Priority,SMB_22851,2024-03-09 17:39:40.812249,20055,1953.36,18049.5,1,0,0
Housecall Pro,SMB_73448,2024-03-20 17:39:41.174373,19632,1611.27,16811.03155458906,0,0,0
Housecall Pro,SMB_72059,2024-05-22 17:39:41.160896,30569,2603.85,21974.23483325373,0,0,0
Housecall Pro,SMB_59657,2024-09-04 17:39:41.071815,18428,1202.04,8487.47493315902,0,0,0
Housecall Pro,SMB_66876,2024-05-14 17:39:41.115394,11108,697.9,8899.264509693445,0,0,0
Housecall Pro,SMB_69247,2024-04-13 17:39:41.133379,9055,728.61,7019.367300964359,1,0,0
Boulevard,SMB_44072,2024-11-21 17:39:40.962968,24876,1728.19,6221.300472034857,0,0,0
Housecall Pro,SMB_55894,2024-07-19 17:39:41.049349,31079,2245.76,17416.2124450663,0,0,1
Priority,SMB_35353,2024-08-26 17:39:40.900878,15737,1878.86,7004.868641143368,1,0,0
Boulevard,SMB_50715,2024-03-08 17:39:41.009742,7638,818.02,6874.2,0,1,0
Housecall Pro,SMB_84038,2025-01-17 17:39:41.243302,19517,1817.74,1986.7195488050647,0,1,0
Boulevard,SMB_47331,2024-08-11 17:39:40.984794,16280,1066.91,8628.257246716763,0,0,0
Priority,SMB_32699,2024-04-09 17:39:40.884498,24087,2672.25,19989.42255331642,0,0,0
Housecall Pro,SMB_83697,2024-09-06 17:39:41.241208,8133,827.12,3584.455715241014,0,0,0
Housecall Pro,SMB_81529,2024-06-20 17:39:41.226281,21502,2014.25,13764.833355332035,1,0,0
Priority,SMB_28145,2024-09-15 17:39:40.851671,28497,3021.3,11252.66967853261,0,0,0
Housecall Pro,SMB_78193,2025-01-28 17:39:41.203456,16064,1117.85,1176.6976593901534,0,0,0
Boulevard,SMB_42767,2024-05-15 17:39:40.953099,21023,1978.57,15310.941915227957,1,0,0
Priority,SMB_20742,2024-08-10 17:39:40.793227,19386,1333.4,10206.029543054141,0,0,0
Housecall Pro,SMB_74769,2024-04-30 17:39:41.182926,26819,3189.57,21674.346980953243,0,1,0
Priority,SMB_31600,2025-01-27 17:39:40.877541,8219,966.64,666.7400826374098,0,0,0
Priority,SMB_8455,2024-10-15 17:39:40.705476,7946,952.43,2438.178784191127,0,1,0
Housecall Pro,SMB_89856,2024-04-13 17:39:41.279550,12734,1361.88,9561.820901586905,0,0,0
Priority,SMB_17548,2024-08-27 17:39:40.771072,18016,1776.52,7776.336041317285,0,1,0
Priority,SMB_2085,2024-06-27 17:39:40.659248,11246,748.12,6206.412786796914,0,0,1
Housecall Pro,SMB_98199,2024-03-27 17:39:41.333330,7378,386.29,6286.606286607277,0,0,0
Priority,SMB_27391,2024-09-15 17:39:40.846468,22443,2165.23,8647.957059940823,0,0,1
Housecall Pro,SMB_63346,2024-06-21 17:39:41.094309,19946,1765.89,11559.952369481556,0,0,0
Priority,SMB_5121,2024-11-25 17:39:40.682648,28077,2021.67,6965.882418852738,0,0,1
Housecall Pro,SMB_93189,2024-08-23 17:39:41.299932,27319,2737.33,14215.937784374468,0,0,0
Housecall Pro,SMB_77687,2024-08-19 17:39:41.200420,28458,2490.79,12988.803048903748,0,0,0
Housecall Pro,SMB_80891,2024-08-30 17:39:41.221930,28289,1828.06,13377.315647137038,0,0,1
Priority,SMB_10528,2025-01-24 17:39:40.720891,19866,2138.18,1630.1212777471121,0,0,0
Priority,SMB_18375,2024-04-07 17:39:40.777431,23488,2396.96,19075.536758301656,0,0,0
Housecall Pro,SMB_92797,2024-09-07 17:39:41.297623,28336,1594.96,12575.20666666622,0,0,0
Priority,SMB_9247,2024-07-04 17:39:40.711599,18771,1333.33,11548.305946468521,0,0,0
Boulevard,SMB_44270,2024-10-13 17:39:40.964147,10708,1077.41,3693.9116443172547,0,0,0
Housecall Pro,SMB_85234,2024-11-20 17:39:41.250567,19051,1615.74,4496.652355466119,0,0,0
Boulevard,SMB_46662,2025-01-05 17:39:40.980324,27059,2631.72,3935.390729839461,0,1,0
Priority,SMB_6547,2024-11-12 17:39:40.693757,8204,591.52,2213.63433178992,0,0,0
Housecall Pro,SMB_70437,2025-01-10 17:39:41.145111,6923,690.54,823.9237767943574,0,0,0
Housecall Pro,SMB_88491,2024-08-15 17:39:41.271053,23648,2486.23,10855.885975391848,0,0,0
Priority,SMB_28264,2024-10-25 17:39:40.852371,10559,950.49,3395.144394871066,0,0,0
Priority,SMB_26465,2024-11-19 17:39:40.838932,24457,1277.22,6591.927218382425,0,0,1
Boulevard,SMB_42820,2024-07-08 17:39:40.953578,12247,850.83,6617.022980639201,0,0,0
Housecall Pro,SMB_60227,2024-07-17 17:39:41.075056,22297,2023.84,13498.264712748243,0,1,0
Housecall Pro,SMB_82437,2024-12-13 17:39:41.232039,17791,953.03,3308.1939911036225,0,1,0
Housecall Pro,SMB_67467,2024-04-04 17:39:41.118823,31870,2522.17,24336.486454040365,0,0,0
Priority,SMB_15937,2024-08-26 17:39:40.759166,10967,1193.6,4982.6913449265985,0,0,0
Housecall Pro,SMB_91724,2024-07-20 17:39:41.290921,30363,1846.4,17407.311045312978,0,0,0
Housecall Pro,SMB_61462,2024-11-17 17:39:41.082227,8437,459.66,2069.8598939624603,0,0,0
Priority,SMB_9802,2024-12-10 17:39:40.714910,19814,1910.82,3941.2689046985247,0,1,0
Priority,SMB_36664,2024-10-16 17:39:40.909655,25012,2446.41,8954.865295426567,0,0,0
Priority,SMB_28432,2024-07-25 17:39:40.853798,16924,991.56,9267.349010576145,0,0,0
Priority,SMB_28718,2024-12-14 17:39:40.855990,14582,1517.78,2474.476802481294,1,0,0
Boulevard,SMB_47503,2025-01-10 17:39:40.986339,17295,1390.09,1926.3811887483218,0,0,0
Housecall Pro,SMB_71877,2024-06-24 17:39:41.159134,17385,1518.24,11577.003007568825,0,0,0
Housecall Pro,SMB_89168,2024-12-05 17:39:41.275315,9810,910.37,2090.4455892862493,0,0,0
Housecall Pro,SMB_91304,2024-08-26 17:39:41.288206,15974,921.72,7396.657388451524,0,0,0
Housecall Pro,SMB_96897,2024-09-15 17:39:41.323812,19107,1502.79,7182.469560207297,0,0,0
Priority,SMB_9050,2024-09-05 17:39:40.710446,19633,2173.76,8879.390863830315,0,0,0
Priority,SMB_18238,2024-04-18 17:39:40.776413,6601,362.19,5151.683650274872,0,0,0
Housecall Pro,SMB_72738,2024-03-13 17:39:41.167526,21141,1583.28,17139.14787298483,0,0,0
Housecall Pro,SMB_67257,2024-10-17 17:39:41.117590,26202,2266.62,9590.778467754673,0,0,0
Priority,SMB_12618,2024-10-27 17:39:40.735253,18791,1642.18,5602.260266864644,0,0,0
Housecall Pro,SMB_90051,2024-07-14 17:39:41.280705,23293,2176.12,11925.074422748874,0,0,0
Housecall Pro,SMB_96875,2024-09-08 17:39:41.323676,26411,2988.12,10991.723522490254,0,0,0
Housecall Pro,SMB_81331,2024-09-14 17:39:41.224899,23722,1458.34,10952.016563443187,0,0,0
Priority,SMB_36907,2024-11-07 17:39:40.911367,17888,1974.21,4979.014869821235,0,0,0
Priority,SMB_23750,2024-06-13 17:39:40.821063,17189,896.71,10343.728271255944,0,0,0
Priority,SMB_26605,2024-10-13 17:39:40.839851,24785,2463.12,7931.0241412085215,0,0,0
Housecall Pro,SMB_74186,2024-09-07 17:39:41.179571,29340,3168.61,11492.589248424856,0,0,0
Housecall Pro,SMB_92713,2024-06-19 17:39:41.297122,15152,1232.0,8722.231972049378,0,0,0
Housecall Pro,SMB_83889,2025-01-17 17:39:41.242395,22499,2182.71,2533.627953562579,1,0,0
Housecall Pro,SMB_74201,2024-10-31 17:39:41.179653,29112,3451.46,9477.490838793596,0,0,0
Housecall Pro,SMB_99058,2024-03-13 17:39:41.338732,6948,543.3,6253.2,0,0,1
Housecall Pro,SMB_94131,2024-11-22 17:39:41.305974,13685,981.2,3083.212656220529,0,0,1
Priority,SMB_1398,2024-04-22 17:39:40.654703,14707,1374.45,11296.072426642997,1,0,0
Priority,SMB_15347,2024-07-06 17:39:40.755116,14323,1489.83,7861.19741426625,0,0,0
Priority,SMB_38349,2024-08-13 17:39:40.921132,12445,1058.74,6092.619619458292,0,1,0
Housecall Pro,SMB_94538,2024-04-16 17:39:41.308675,7839,824.12,6519.177714228115,0,0,0
Housecall Pro,SMB_80676,2024-09-16 17:39:41.220468,13515,969.62,5249.071841422738,1,0,0
Boulevard,SMB_47201,2025-01-12 17:39:40.984020,25173,1906.08,2923.725765867964,1,0,0
Priority,SMB_27999,2024-03-14 17:39:40.850587,25671,2434.09,20301.16741405131,0,0,0
Priority,SMB_32121,2025-01-03 17:39:40.880759,25461,2474.24,3919.9416280412142,0,0,0
Priority,SMB_25534,2024-12-07 17:39:40.832495,32118,1619.34,6949.797841808999,1,0,0
Priority,SMB_38839,2024-09-06 17:39:40.924657,16331,1726.78,7877.180563625875,1,0,0
Housecall Pro,SMB_84914,2024-09-09 17:39:41.248598,7828,598.33,3697.0376583138104,0,0,0
Housecall Pro,SMB_75771,2025-01-24 17:39:41.189035,10777,1142.08,877.2474950448402,0,0,0
Housecall Pro,SMB_58506,2024-08-13 17:39:41.065153,17623,1343.37,9172.665148630305,0,1,0
Priority,SMB_26766,2024-09-22 17:39:40.841041,8173,414.74,2995.1242510082025,1,0,0
Priority,SMB_19343,2024-08-20 17:39:40.784380,28196,3278.39,13818.268018911398,0,0,0
Priority,SMB_33808,2024-03-17 17:39:40.891190,17955,2109.11,14244.617406829371,0,0,0
Housecall Pro,SMB_81227,2024-06-08 17:39:41.224172,12336,1411.0,8023.809839040897,0,0,0
Boulevard,SMB_51730,2024-09-16 17:39:41.017035,14496,859.8,6595.46770601232,1,0,0
Housecall Pro,SMB_62893,2024-11-13 17:39:41.091017,31277,3429.91,9130.853138760736,0,0,1
Housecall Pro,SMB_82493,2024-05-12 17:39:41.232404,13835,1219.93,10161.312064124126,0,0,0
Priority,SMB_24746,2024-10-12 17:39:40.827519,17352,1641.89,6590.079581266332,0,0,0
Housecall Pro,SMB_75051,2024-12-16 17:39:41.184605,10306,959.24,2065.6093779440444,0,0,0
Priority,SMB_2263,2024-04-30 17:39:40.660360,10559,1130.93,8625.430316130141,0,0,0
Housecall Pro,SMB_93648,2024-06-11 17:39:41.302949,21915,1657.56,14568.786501958655,0,0,0
Priority,SMB_10140,2024-12-08 17:39:40.717111,31906,3727.59,5845.355412690026,0,0,0
Priority,SMB_29674,2024-09-10 17:39:40.863074,29538,1847.48,13681.565312591232,0,0,1
Priority,SMB_4625,2024-09-29 17:39:40.677831,22025,1974.04,8841.654542436812,0,0,0
Priority,SMB_1401,2024-05-16 17:39:40.654720,16067,951.05,12333.82165584478,0,0,0
Priority,SMB_19633,2024-12-09 17:39:40.786348,29679,2253.36,5711.5022765061885,0,0,0
